Temperature: loadcase=1,period=1
  11            1.341
  12            1.332
  13            1.335
  14            1.337
  15            1.335
  16            1.337
Temperature: loadcase=1,period=41
   1            5.272
   2            5.272
   3            5.272
   4            5.272
   5            5.272
   6            5.272
   7            5.272
   8            5.272
   9            1.207
  10            1.207
  11            1.207
  12            1.207
  13            1.204
  14            1.209
  15            1.204
  16            1.210
Temperature: loadcase=1,period=42
   1            5.197
   2            5.197
   3            5.197
   4            5.197
   5            5.197
   6            5.197
   7            5.197
   8            5.197
   9            1.180
  10            1.178
  11            1.180
  12            1.177
  13            1.181
  14            1.176
  15            1.181
  16            1.176
Temperature: loadcase=1,period=43
   1            5.123
   2            5.123
   3            5.123
   4            5.123
   5            5.123
   6            5.123
   7            5.123
   8            5.123
   9            1.063
  10            1.069
  11            1.063
  12            1.069
  13            1.065
  14            1.067
  15            1.065
  16            1.067
Temperature: loadcase=1,period=44
   1            5.056
   2            5.056
   3            5.056
   4            5.056
   5            5.056
   6            5.056
   7            5.056
   8            5.056
   9            1.041
  10            1.039
  11            1.041
  12            1.039
  13            1.042
  14            1.038
  15            1.041
  16            1.038
Temperature: loadcase=1,period=45
   1            4.991
   2            4.991
   3            4.991
   4            4.991
   5            4.991
   6            4.991
   7            4.991
   8            4.991
   9            0.943
  10            0.940
  11            0.943
  12            0.940
  13            0.938
  14            0.946
  15            0.938
  16            0.946
Temperature: loadcase=1,period=46
   1            4.932
   2            4.932
   3            4.932
   4            4.932
   5            4.932
   6            4.932
   7            4.932
   8            4.932
   9            0.922
  10            0.913
  11            0.922
  12            0.913
  13            0.916
  14            0.919
  15            0.916
  16            0.919
Temperature: loadcase=1,period=47
   1            4.875
   2            4.875
   3            4.875
   4            4.875
   5            4.875
   6            4.875
   7            4.875
   8            4.875
   9            0.830
  10            0.834
  11            0.830
  12            0.834
  13            0.832
  14            0.832
  15            0.832
  16            0.832
Temperature: loadcase=1,period=48
   1            4.823
   2            4.823
   3            4.823
   4            4.823
   5            4.823
   6            4.823
   7            4.823
   8            4.823
   9            0.806
  10            0.812
  11            0.806
  12            0.812
  13            0.811
  14            0.808
  15            0.811
  16            0.808
Temperature: loadcase=1,period=49
   1            4.772
   2            4.772
   3            4.772
   4            4.772
   5            4.772
   6            4.772
   7            4.772
   8            4.772
   9            0.733
  10            0.737
  11            0.733
  12            0.738
  13            0.736
  14            0.733
  15            0.737
  16            0.733
Temperature: loadcase=1,period=50
   1            4.727
   2            4.727
   3            4.727
   4            4.727
   5            4.727
   6            4.727
   7            4.727
   8            4.727
   9            0.713
  10            0.715
  11            0.713
  12            0.715
  13            0.710
  14            0.718
  15            0.710
  16            0.718
Temperature: loadcase=1,period=51
   1            4.682
   2            4.682
   3            4.682
   4            4.682
   5            4.682
   6            4.682
   7            4.682
   8            4.682
   9            0.648
  10            0.650
  11            0.648
  12            0.650
  13            0.652
  14            0.646
  15            0.652
  16            0.646
